epoch,loss,r_square,val_loss,val_r_square
0,1.5277928283823616,0.7194561958312988,1.201579946482469,0.7765053510665894
1,1.1369332451729075,0.7912284135818481,1.0379599840673088,0.8069387078285217
2,0.9997022035078001,0.8164279460906982,1.022312622005024,0.8098491430282593
3,0.9250558734633538,0.8301351070404053,0.9245333535937299,0.8280361890792847
4,0.8789403052857011,0.8386030197143555,0.974134010574131,0.8188104629516602
5,0.8456399759302079,0.8447179198265076,0.8284876821663081,0.8459007740020752
6,0.8143911405032662,0.8504559993743896,0.8388622374328342,0.8439710140228271
7,0.7821811359164441,0.8563703894615173,0.7717681737230949,0.856450617313385
8,0.7558222234003531,0.8612107634544373,0.7559978750045843,0.8593838214874268
9,0.7293693000722498,0.866068422794342,0.7684299780876727,0.8570715188980103
10,0.7032549697481424,0.8708634376525879,0.7288096763864367,0.86444091796875
11,0.6801119015754801,0.875113308429718,0.811019557252965,0.849149763584137
12,0.6665547730719875,0.8776025772094727,0.6679195797647055,0.8757665157318115
13,0.6511917262330428,0.8804237246513367,0.6634073392356596,0.876605749130249
14,0.641659494942678,0.8821742534637451,0.6408016068363687,0.8808104991912842
15,0.6283744454557203,0.8846135139465332,0.6580655920813189,0.8775994181632996
16,0.6207998567416549,0.8860044479370117,0.6859545065289798,0.8724120259284973
17,0.6131648615009855,0.8874064683914185,0.6303602455204853,0.8827525973320007
18,0.6037649378231065,0.889132559299469,0.6264458568792668,0.8834806084632874
19,0.5967709030116349,0.8904168605804443,0.6162801991516672,0.8853715658187866
20,0.5900099883077218,0.8916584253311157,0.6268081768099559,0.8834131956100464
21,0.5834758788188337,0.8928581476211548,0.6174192643087589,0.8851596117019653
22,0.5755823124642517,0.8943077325820923,0.6194493655441718,0.8847819566726685
23,0.5684178902926055,0.8956233263015747,0.6160725652990985,0.8854100704193115
24,0.5654943835024573,0.8961601257324219,0.6107623561951344,0.8863977789878845
25,0.5578735297129562,0.8975595831871033,0.6081123526574741,0.886890709400177
26,0.5527133588804184,0.8985069990158081,0.7239226145367614,0.8653498888015747
27,0.5505718529672226,0.8989002704620361,0.6096195214505081,0.8866103291511536
28,0.5460069595943997,0.8997384309768677,0.6452639808976027,0.8799805045127869
29,0.5372423603516785,0.9013479351997375,0.7436327219486063,0.86168372631073
30,0.534407357650507,0.9018683433532715,0.6092518458731259,0.8866787552833557
31,0.5281059249361568,0.9030255079269409,0.6054202050970898,0.8873914480209351
32,0.5241914535400882,0.9037445187568665,0.6045838480831767,0.8875470161437988
33,0.5202721322891611,0.904464066028595,0.6363703600568481,0.8816346526145935
34,0.515236004428614,0.9053888320922852,0.6137412381752844,0.8858436942100525
35,0.5107959201121527,0.9062040448188782,0.5965029137374039,0.8890500664710999
36,0.505964146942348,0.9070913195610046,0.602924049897265,0.8878557085990906
37,0.5029372225253257,0.9076472520828247,0.6400348341249775,0.8809530735015869
38,0.49875475290008847,0.9084153175354004,0.6135525335315702,0.8858788013458252
39,0.49264093975649836,0.9095379114151001,0.6174264087411804,0.8851583003997803
40,0.48821533234068565,0.9103505611419678,0.6570653598423829,0.8777853846549988
41,0.48324990967379805,0.9112622737884521,0.6123757019456655,0.8860977292060852
42,0.479972458469365,0.9118642807006836,0.6126396550375895,0.8860485553741455
43,0.47585201000508554,0.9126209020614624,0.6391052752570732,0.8811259865760803
44,0.4726874264145845,0.9132019877433777,0.6722448582679853,0.8749620914459229
45,0.46805991581991,0.9140516519546509,0.6068799178210025,0.8871199488639832
