epoch,loss,out_0_loss,out_0_r_square,out_1_loss,out_1_r_square,out_2_loss,out_2_r_square
0,5.766452443885418,2.2401870244704662,0.6032655835151672,1.8144964801654129,0.6786549091339111,1.7117689392495392,0.6968480348587036
1,3.5854794631920326,1.3567189464905163,0.7555538415908813,1.1387338085541183,0.7948288321495056,1.090026708147398,0.8036046624183655
2,3.3965817215632756,1.2876977342519933,0.7711839079856873,1.0759273188963965,0.808814287185669,1.0329566684148863,0.816449761390686
3,3.3435690212812705,1.2644134126373756,0.7749021053314209,1.0643177894927565,0.8105242848396301,1.0148378191511382,0.8193330764770508
4,3.252117321064928,1.2334395464727197,0.7783733606338501,1.0358607754372962,0.8138747215270996,0.9828169991549124,0.8234055638313293
5,3.134369613225278,1.1905938224326846,0.7866997718811035,0.9976723884795026,0.821262538433075,0.9461034023130908,0.8305013179779053
6,3.180310027688869,1.2034010520805156,0.7840917706489563,1.012705657770835,0.8183056116104126,0.9642033178375182,0.8270076513290405
7,3.08024925337932,1.167475731050623,0.791409432888031,0.9794228688045085,0.8250083923339844,0.9333506535241883,0.8332397937774658
8,3.165472080958472,1.1964497467777884,0.788141667842865,1.0059158808043855,0.8218797445297241,0.9631064533762984,0.8294602036476135
9,3.114311145205717,1.181868733397071,0.7894331812858582,0.9897902693350167,0.823654294013977,0.9426521424736295,0.8320527076721191
10,3.022656938152173,1.1493380563231967,0.7934008240699768,0.9591769399903768,0.8275835514068604,0.9141419418385994,0.8356784582138062
11,3.0343528265388984,1.155724481547337,0.7918956875801086,0.9631305114813874,0.8265746235847473,0.9154978335101739,0.8351516127586365
12,3.05837635596216,1.1611974282631332,0.7937325835227966,0.9729805024288591,0.8271663188934326,0.9241984252701679,0.8358315229415894
13,3.0421864809472807,1.1531542145391183,0.7919077277183533,0.9686192874312683,0.8252077698707581,0.9204129789768942,0.8339069485664368
14,2.96178674653321,1.1233170928268223,0.797715961933136,0.9420228889897133,0.8303632736206055,0.8964467647166743,0.8385703563690186
15,3.021233074611038,1.1385764908496385,0.7979580163955688,0.9620607527910843,0.8292810320854187,0.9205958309703152,0.8366389274597168
