epoch,loss,out_0_loss,out_0_r_square,out_1_loss,out_1_r_square,out_2_loss,out_2_r_square
0,4.543575779571543,1.831693992708025,0.6925879120826721,1.4128192866030407,0.7628877758979797,1.299062500260477,0.7819793820381165
1,3.2972743895388845,1.2531302007516538,0.7925695180892944,1.0566754355791985,0.8250886797904968,0.9874687532080323,0.8365445137023926
2,2.9457790537363313,1.1241702912521996,0.8103724718093872,0.9404210740715031,0.841367244720459,0.8811876884126287,0.8513592481613159
3,2.7528999086000083,1.0599530724016584,0.8222848176956177,0.8764134100674996,0.8530575037002563,0.8165334261308504,0.8630971908569336
4,2.602935332034927,1.0053033712943356,0.8334364891052246,0.8265100832823224,0.8630596995353699,0.7711218774582692,0.8722368478775024
5,2.454029985182867,0.9563035606369963,0.840809166431427,0.7740323475716034,0.8711510896682739,0.7236940769742676,0.8795305490493774
6,2.3759297873956835,0.9230041337294841,0.8454176187515259,0.7500802105307345,0.8743784427642822,0.7028454431354647,0.8822891712188721
7,2.3107866023513157,0.9038528360015764,0.8474192023277283,0.7276595348462932,0.8771626949310303,0.6792742315034462,0.8853305578231812
8,2.242559585599302,0.8759061164831318,0.8530081510543823,0.705229721090749,0.881650447845459,0.6614237480254214,0.8890019655227661
9,2.2443668273915574,0.8733213872788107,0.8546478748321533,0.7075350032605994,0.8822406530380249,0.6635104368521473,0.8895679712295532
10,2.201201411279461,0.8612258518994675,0.8557647466659546,0.6917243083300963,0.8841521143913269,0.6482512510498971,0.8914328813552856
11,2.211039767754594,0.8644454446657905,0.8565094470977783,0.693560250246472,0.8848749399185181,0.6530340728423316,0.8916018009185791
12,2.1527191854382712,0.838976080478059,0.8608870506286621,0.6789179682313633,0.8874268531799316,0.6348251367288488,0.8947377800941467
13,2.0842691616147873,0.8159295582821168,0.8635941743850708,0.6550679716105595,0.8904866576194763,0.6132716317221112,0.8974741101264954
14,2.11380260840689,0.829076141492999,0.8616822957992554,0.6641923489459739,0.8891904354095459,0.620534117967917,0.8964740633964539
15,2.054946806116807,0.8059843974114638,0.8639350533485413,0.6456103807491228,0.8910089731216431,0.6033520279562203,0.8981431722640991
16,2.042437816497056,0.7984907129398129,0.8660521507263184,0.6428604504958851,0.8921591639518738,0.6010866530613578,0.8991668224334717
17,1.9912742447570024,0.7816828890872283,0.8689287900924683,0.6244252770185823,0.8952975273132324,0.585166078651192,0.9018803834915161
18,1.9935258952057444,0.7826096803448567,0.8692083358764648,0.6258291840941946,0.8954097628593445,0.5850870307666931,0.902218759059906
19,1.9865499815544274,0.7794889312413499,0.870215892791748,0.6219132964271964,0.8964518904685974,0.5851477538858811,0.9025734663009644
20,1.915823143089234,0.755394305953184,0.8740055561065674,0.5997938726163344,0.8999584913253784,0.5606349645197157,0.9064899682998657
21,1.9647370711900294,0.7725846171599087,0.8714742660522461,0.6167383824849105,0.8974004983901978,0.5754140715452102,0.904275119304657
22,1.9650046225072537,0.7683336609373177,0.8724710941314697,0.6173420619681537,0.8975328803062439,0.5793288996017824,0.9038421511650085
23,1.9531121715081958,0.7637037665429195,0.8722028732299805,0.6140527538881879,0.8972452878952026,0.5753556510770884,0.9037207961082458
24,1.9617648034642532,0.7658836181224213,0.8728272914886475,0.6183759959957261,0.8973206281661987,0.5775051893461056,0.9041070938110352
25,1.9073683301052886,0.7462152434644971,0.875397801399231,0.5988214180298795,0.9000095129013062,0.5623316686109119,0.9061024785041809
26,1.8904875745798835,0.7391096907594483,0.8764113187789917,0.5945561868431941,0.9005826115608215,0.556821696977241,0.9068922996520996
27,1.872051909727257,0.7327267653052145,0.8779765963554382,0.5894755792224736,0.9018325805664062,0.549849565199569,0.9084316492080688
28,1.8621098040016442,0.7272084491459403,0.8787489533424377,0.5852602365184721,0.9024167060852051,0.5496411183372316,0.9083555936813354
29,1.8747437469345907,0.7372257695606668,0.8772587776184082,0.5890954429261739,0.9019212126731873,0.54842253444775,0.9086928367614746
30,1.8628682880735714,0.7310121605561416,0.8772260546684265,0.5850443495034174,0.9017415046691895,0.5468117780140125,0.9081625938415527
31,1.8572074584296252,0.7288026071747574,0.8777927160263062,0.5826928811807801,0.902292788028717,0.5457119700740877,0.9084937572479248
32,1.830821699385832,0.7185971805987161,0.8803488612174988,0.5751401279341635,0.9042355418205261,0.5370843908529523,0.9105720520019531
33,1.8256671198966408,0.7188159998315643,0.879889965057373,0.571275626796877,0.9045430421829224,0.5355754932681993,0.910508394241333
34,1.8147624835195972,0.711812751155024,0.8817753791809082,0.5699213951327434,0.9053421020507812,0.5330283372318299,0.911469578742981
35,1.8624663223516138,0.7279192347695508,0.878976047039032,0.5849189937635376,0.9027513265609741,0.5496280938185253,0.9086187481880188
36,1.7861753526495725,0.6998367999922338,0.8830870985984802,0.5597279503809538,0.9064934253692627,0.5266106022763851,0.9120259284973145
37,1.7913913940809167,0.7071554165729504,0.8821244239807129,0.5588005774353785,0.9068537950515747,0.5254354000725878,0.9124152660369873
